left_input,right_input,left_distance,right_distance,time
140.0,140.0,0.156975656747818,0.15514326095581055,0.951904296875
140.0,140.0,0.1618620604276657,0.16002966463565826,1.20916748046875
140.0,140.0,0.21194769442081451,0.2113368958234787,1.23089599609375
140.0,140.0,0.21683409810066223,0.21622329950332642,1.7181396484375
140.0,140.0,0.31028637290000916,0.31089717149734497,1.7413330078125
140.0,140.0,0.3151727616786957,0.4056273102760315,2.22857666015625
140.0,140.0,0.40923574566841125,0.4104573428630829,2.25177001953125
140.0,140.0,0.4141221344470978,0.4593212306499481,2.506988525390625
140.0,140.0,0.462986022233963,0.46420761942863464,2.53021240234375
140.0,140.0,0.5568385720252991,0.557049036026001,3.017425537109375
140.0,140.0,0.8203034400939941,0.8233574032783508,4.432159423828125
140.0,140.0,0.8251898288726807,0.8282437920570374,4.9246826171875
140.0,140.0,0.9186421036720276,0.9210852980613708,4.943145751953125
140.0,140.0,0.9235284924507141,0.9259716868400574,4.966339111328125
140.0,140.0,0.9284148812294006,0.9308580756187439,4.98956298828125
140.0,140.0,0.8887129426002502,0.8911561369895935,4.780731201171875
140.0,140.0,0.8935993313789368,0.89604252576828,4.803924560546875
140.0,140.0,0.8984857201576233,0.9009289145469666,4.8271484375
140.0,140.0,0.9033721089363098,0.9058153033256531,4.850341796875
140.0,140.0,0.9088693261146545,0.9107016921043396,4.87353515625
