left_distance,right_distance,time
0.14109478890895844,0.13865159451961517,1.180938720703125
0.14475959539413452,0.14231640100479126,1.66558837890625
0.2107260376214981,0.20706121623516083,1.690643310546875
0.21378003060817719,0.21072602272033691,2.639495849609375
0.3432694375514984,0.3377722501754761,2.66265869140625
0.3463234305381775,0.40137311816215515,3.14862060546875
0.41228967905044556,0.40496009588241577,3.171783447265625
0.41595447063446045,0.5026878714561462,3.88922119140625
0.5124607086181641,0.5057418942451477,3.912353515625
0.547375500202179,0.5393359661102295,4.16693115234375
