left_distance,right_distance,time
0.222942054271698,0.22233125567436218,1.18096923828125
0.22843925654888153,0.22782845795154572,1.665618896484375
0.33349665999412537,0.33227506279945374,1.690704345703125
0.3389938473701477,0.3377722501754761,2.1767578125
0.44405120611190796,0.44282960891723633,2.199920654296875
0.4495483934879303,0.49715492129325867,2.454498291015625
0.5057418942451477,0.5032986998558044,2.477630615234375
0.5112391114234924,0.6572206616401672,3.195159912109375
0.6651611924171448,0.662717878818512,3.218292236328125
0.7722209095954895,0.7659433484077454,3.704345703125
