left_input,right_input,left_distance,right_distance,time
60.0,60.0,0.05863678827881813,0.07573923468589783,0.951934814453125
60.0,60.0,0.060469187796115875,0.07818243652582169,1.209228515625
60.0,60.0,0.07879321277141571,0.0995604619383812,1.230926513671875
60.0,60.0,0.08062561601400375,0.10200366377830505,1.718170166015625
60.0,60.0,0.1166628748178482,0.14170566201210022,1.741363525390625
60.0,60.0,0.11849527806043625,0.18260055780410767,2.228607177734375
60.0,60.0,0.1527000218629837,0.1844615638256073,2.251800537109375
60.0,60.0,0.15514321625232697,0.20522871613502502,2.50701904296875
60.0,60.0,0.1728563755750656,0.2076719105243683,2.53021240234375
60.0,60.0,0.22547002136707306,0.27302736043930054,3.249481201171875
60.0,60.0,0.30845367908477783,0.36892274022102356,4.43218994140625
60.0,60.0,0.3102860748767853,0.3713659346103668,4.9246826171875
60.0,60.0,0.34449079632759094,0.41228944063186646,4.94317626953125
60.0,60.0,0.3463231921195984,0.4147326350212097,4.96636962890625
60.0,60.0,0.34754478931427,0.417175829410553,4.989593505859375
60.0,60.0,0.33349642157554626,0.39946267008781433,4.78076171875
60.0,60.0,0.3353288173675537,0.4019058644771576,4.803985595703125
60.0,60.0,0.33716121315956116,0.40373826026916504,4.827178955078125
60.0,60.0,0.3389936089515686,0.4061814546585083,4.850372314453125
60.0,60.0,0.34082600474357605,0.40801385045051575,4.873565673828125
